id,title,url,action,status
1,Is Cost Segregation Worth It for a Rental Property?,https://www.aetaxadvisors.com/blog/is-cost-segregation-worth-it/,rewritten,implemented
2,Cost Segregation Study Pricing,https://www.aetaxadvisors.com/cost-segregation-study-cost-pricing/,expanded,implemented
3,What Does a Residential Cost Segregation Study Include?,https://www.aetaxadvisors.com/blog/cost-segregation-study-audit-ready-deliverables/,expanded,implemented
4,How Long Does a Cost Segregation Study Take?,https://www.aetaxadvisors.com/cost-segregation-study-timeline-process/,expanded,implemented
5,Documents Needed for a Cost Segregation Study,https://www.aetaxadvisors.com/cost-segregation-documents-checklist/,expanded,implemented
6,When Should You Order a Cost Segregation Study?,https://www.aetaxadvisors.com/blog/when-to-order-cost-segregation-study/,new,implemented
7,Can You Use Your Cost Segregation Deduction This Year?,https://www.aetaxadvisors.com/blog/cost-segregation-deduction-usability/,new,implemented
8,What Happens After a Cost Segregation Study Is Finished?,https://www.aetaxadvisors.com/cost-segregation-cpa-coordination/,expanded,implemented
9,When Cost Segregation May Not Be Worth It,https://www.aetaxadvisors.com/cost-segregation-when-it-works-when-it-doesnt-and-how-to-decide/,rewritten,implemented
10,How to Read a Cost Segregation Report,https://www.aetaxadvisors.com/blog/cost-segregation-report-basis-reconciliation/,expanded,implemented
11,Cost Segregation for Single-Family Rentals,https://www.aetaxadvisors.com/blog/cost-segregation-sfr-buy-and-hold-rentals/,expanded,implemented
12,"Cost Segregation for Duplexes, Triplexes, and Fourplexes",https://www.aetaxadvisors.com/blog/cost-segregation-duplex-triplex-fourplex/,new,implemented
13,Cost Segregation for Small Apartment Buildings,https://www.aetaxadvisors.com/blog/cost-segregation-small-multifamily-5-20-units/,rewritten,implemented
14,Cost Segregation for Condos and Townhomes,https://www.aetaxadvisors.com/blog/cost-segregation-condos-townhomes/,new,implemented
15,Cost Segregation for Vacation Rental Cabins,https://www.aetaxadvisors.com/blog/cost-segregation-vacation-rental-cabins/,new,implemented
