slug,url,industry,annualTaxSavings,headlineOutcome,keyMetric
airbnb-arbitrage-operator-business-expense-optimization,https://www.aetaxadvisors.com/case-studies/airbnb-arbitrage-operator-business-expense-optimization/,Short-Term Rental Arbitrage (Airbnb & VRBO),38000,"$38,000","15 leased units, no property ownership, net income $185K, average 7-day stay"
auto-dealership-cost-seg-fleet-depreciation,https://www.aetaxadvisors.com/case-studies/auto-dealership-cost-seg-fleet-depreciation/,Automotive Dealership Group (3 Locations),187000,"$187,000","$4.2M combined building basis, 85-vehicle demo/service fleet"
construction-company-equipment-depreciation-entity-layering,https://www.aetaxadvisors.com/case-studies/construction-company-equipment-depreciation-entity-layering/,Commercial Construction,156000,"$156,000","$620,000 in equipment purchases"
dental-practice-cost-seg-entity-restructuring,https://www.aetaxadvisors.com/case-studies/dental-practice-cost-seg-entity-restructuring/,Dental Practice (General & Cosmetic),94000,"$94,000","$1.1M building basis, owner age 54"
ecommerce-amazon-fba-s-corp,https://www.aetaxadvisors.com/case-studies/ecommerce-amazon-fba-s-corp/,E-Commerce (Amazon FBA),58000,"$58,000",S-Corp saves $34K in SE tax; inventory method change defers $24K
ecommerce-dropship-multistate,https://www.aetaxadvisors.com/case-studies/ecommerce-dropship-multistate/,E-Commerce (Dropshipping),31000,"$31,000",State filings reduced from 12 to 4; entity restructured to S-Corp
ecommerce-sole-prop-to-s-corp-entity-restructuring,https://www.aetaxadvisors.com/case-studies/ecommerce-sole-prop-to-s-corp-entity-restructuring/,E-Commerce (Direct-to-Consumer),47000,"$47,000",Net profit margin: 32%
fix-and-flip-dealer-vs-investor-classification,https://www.aetaxadvisors.com/case-studies/fix-and-flip-dealer-vs-investor-classification/,Real Estate (Fix-and-Flip),67000,"$67,000","$1.8M annual flip revenue, $420K net"
four-llc-consolidation-management-company,https://www.aetaxadvisors.com/case-studies/four-llc-consolidation-management-company/,"Multi-Business (Landscaping, Property Mgmt, Equipment Rental, Cleaning)",78000,"$78,000",$480K combined net income across entities
franchise-owner-seven-locations-centralized-planning,https://www.aetaxadvisors.com/case-studies/franchise-owner-seven-locations-centralized-planning/,Quick-Service Restaurant Franchise (7 locations),134000,"$134,000","120+ employees, 3 owned buildings"
freelancer-home-office-vehicle,https://www.aetaxadvisors.com/case-studies/freelancer-home-office-vehicle/,Freelance Graphic/UX Design,18000,"$18,000",Home office + Section 179 SUV + SEP-IRA = $18K annual savings
hotel-boutique-investor-cost-seg-ffe-energy-credits,https://www.aetaxadvisors.com/case-studies/hotel-boutique-investor-cost-seg-ffe-energy-credits/,"Boutique Hotel (32 Rooms, Full-Service)",155000,"$155,000","$5.2M property basis, $680K FF&E, 32 rooms, RevPAR $185"
husband-wife-three-businesses-joint-optimization,https://www.aetaxadvisors.com/case-studies/husband-wife-three-businesses-joint-optimization/,Dental Practice + Real Estate + E-Commerce,91000,"$91,000","Combined household income $780K, 3 active businesses, both spouses active, ages 49 and 47"
insurance-agency-commission-entity-optimization,https://www.aetaxadvisors.com/case-studies/insurance-agency-commission-entity-optimization/,Insurance Agency (Property & Casualty),54000,"$54,000","Owner income $520K, 8 licensed agents, $1.4M commission income"
international-business-owner-treaty-planning-gilti,https://www.aetaxadvisors.com/case-studies/international-business-owner-treaty-planning-gilti/,International Software Development & IT Services,136000,"$136,000","$1.6M foreign subsidiary income, operations in US, UK, and India, 45 employees globally"
landscaping-contractor-section-179-stacking,https://www.aetaxadvisors.com/case-studies/landscaping-contractor-section-179-stacking/,Landscaping & General Contracting,49000,"$49,000","Owner income $285K, 14 employees, $380K equipment fleet"
law-firm-partner-s-corp-cash-balance-plan,https://www.aetaxadvisors.com/case-studies/law-firm-partner-s-corp-cash-balance-plan/,Law Firm (Litigation Practice),95000,"$95,000","Partner age 52, net income $980K, 3 associates"
ltr-section-1250-recapture-planning,https://www.aetaxadvisors.com/case-studies/ltr-section-1250-recapture-planning/,Long-Term Rental Portfolio,127000,"$127,000",$127K in taxes deferred via 1031 exchange; recapture exposure managed
manufacturing-company-rd-credit-macrs,https://www.aetaxadvisors.com/case-studies/manufacturing-company-rd-credit-macrs/,Precision Manufacturing (Aerospace Components),142000,"$142,000","$1.2M annual R&D spend, $2.8M equipment basis, 65 employees"
marketing-agency-home-office-augusta-rule-s-corp,https://www.aetaxadvisors.com/case-studies/marketing-agency-home-office-augusta-rule-s-corp/,Digital Marketing Agency (Social Media & Content),41000,"$41,000","Owner income $410K, 1,800 sq ft home office, 6 contractors"
