segment	cluster	buyer_question
business	business sale	A buyer wants an asset deal for my profitable company; what price premium covers my extra tax?
business	business sale	How should I value a personal guarantee release when selling my company?
business	business sale	My buyer wants an earnout tied to my employment; how will the payments be taxed?
business	business sale	What happens to my S corporation basis when the buyer pays part of the price into escrow?
business	business sale	Can I negotiate the allocation to equipment and goodwill before the letter of intent becomes binding?
business	business sale	How do I compare cash at closing with a larger seller-financed price after tax?
business	business sale	The buyer wants to assume my customer deposits; how should the price adjustment work?
business	business sale	Can I sell my operating company separately from its building without creating an avoidable tax problem?
business	business sale	What happens if my buyer misses payments on the seller note after I reported gain?
business	business sale	How should retained working capital change my sale-year tax projection?
business	business sale	My deal has a holdback for warranty claims; when is that amount part of sale proceeds?
business	business sale	Should I exercise business warrants before signing a sale agreement?
business	business sale	How does a noncompete payment change my after-tax sale proceeds?
business	business sale	The buyer wants a Section 338 election; what additional price would keep me whole?
business	business sale	How should transaction fees be assigned among stock, assets, and financing at closing?
business	business sale	Can I keep a minority interest in the buyer without changing the seller's tax result?
business	business sale	What tax records should I reconcile before accepting a roll-over equity offer?
business	business sale	If the buyer changes the final allocation after closing, which returns must be updated?
business	business sale	Does an installment note help when some sold assets generate immediate ordinary income?
business	business sale	How do I model state taxes when my company operates in several states but sells in one deal?
business	business sale	What happens to my deferred revenue when the buyer takes over ongoing contracts?
business	business sale	Can a profitable practice owner sell goodwill personally while the entity sells equipment?
business	business sale	How do I compare a stock sale and an asset sale when my company owns real estate?
business	business sale	What should my tax advisor review before signing an exclusivity agreement with a buyer?
business	business sale	How do I estimate after-tax proceeds when the price includes a contingent milestone payment?
business	business acquisition	I am buying a profitable company with its building; how do I allocate the combined price?
business	business acquisition	What tax diligence should I complete before buying an S corporation with old payroll issues?
business	business acquisition	Should I buy franchise locations as assets or acquire the seller's LLC interests?
business	business acquisition	How do I reconcile inventory counts and customer deposits in a business purchase?
business	business acquisition	The seller has a cost segregation study; can I use it for my acquisition basis?
business	business acquisition	How should I value franchise rights separately from equipment and goodwill?
business	business acquisition	What happens to my tax basis when I assume the seller's equipment debt?
business	business acquisition	Can I deduct acquisition diligence fees or must I capitalize them?
business	business acquisition	What tax questions should I resolve before buying a partner out of an existing company?
business	business acquisition	How does buying several locations in one contract affect asset allocations?
business	business acquisition	What tax records do I need before buying a dental practice from a retiring owner?
business	business acquisition	How should I account for deferred revenue in an acquired subscription business?
business	business acquisition	Can I use the seller's net operating losses after buying the company?
business	business acquisition	Does an earnout increase the basis of the business I bought?
business	business acquisition	How do I price a stock purchase if the target has a built-in gains exposure?
business	business acquisition	What should I review before buying a business with an underfunded retirement plan?
business	business acquisition	How should an equipment-heavy business purchase flow into my depreciation schedule?
business	business acquisition	Can I combine a business acquisition with a 1031 exchange for the building?
business	business acquisition	What changes when I buy only one division of a larger operating company?
business	business acquisition	How do I model sales-tax liabilities in a multi-state acquisition?
business	business acquisition	Should the buyer and seller sign an allocation exhibit before closing?
business	business acquisition	What happens when the target's book inventory method differs from its tax method?
business	business acquisition	How can I compare buying the company with building the same operation myself after tax?
business	business acquisition	What tax diligence matters when a profitable practice has several owners and outside investors?
business	business acquisition	How do I address a post-closing purchase-price true-up on the first tax return?
business	owner pay and entity	Is my S corporation salary defensible after the business's profits doubled?
business	owner pay and entity	Should I change entity type before adding a second owner to my profitable company?
business	owner pay and entity	How do guaranteed payments compare with distributions for a working partner?
business	owner pay and entity	Can my corporation reimburse substantial owner expenses through an accountable plan?
business	owner pay and entity	What happens if I took large S corporation distributions before running payroll?
business	owner pay and entity	Should I use a separate LLC for the building my operating company rents?
business	owner pay and entity	Can I move a profitable sole proprietorship into an S corporation midyear?
business	owner pay and entity	What changes when my spouse becomes a working owner of the business?
business	owner pay and entity	How does a shareholder loan affect my ability to deduct S corporation losses?
business	owner pay and entity	Should my growing professional practice be a partnership or an S corporation?
business	owner pay and entity	Can a C corporation conversion still make sense before raising outside capital?
business	owner pay and entity	How do I document owner compensation when I work in several related companies?
business	owner pay and entity	What is the tax cost of moving appreciated business property into a new entity?
business	owner pay and entity	Does my management company need real services and fees to support its income?
business	owner pay and entity	How should I pay myself when one company owns several profitable subsidiaries?
business	owner pay and entity	Can I change an LLC election without disrupting a planned company sale?
business	owner pay and entity	How do I handle owner health coverage when the S corporation paid the premiums?
business	owner pay and entity	Is a distribution taxable when my S corporation has significant accumulated profits?
business	owner pay and entity	How should my CPA model wages and distributions before year end?
business	owner pay and entity	What entity structure fits a profitable services business that also owns rentals?
business	owner pay and entity	Can one owner receive a different economic share without breaking S corporation rules?
