Review area,Question,Evidence to request,Status,Notes
Property scope,Does the report identify the property and placed-in-service date?,Property description and service-date support,,
Starting basis,Does total allocated cost reconcile to the tax fixed-asset ledger?,Ledger and closing or construction cost reconciliation,,
Land allocation,Is nondepreciable land separated and supported?,Appraisal or allocation analysis,,
Source records,Which actual cost records and drawings were reviewed?,Invoices plans contracts and pay applications,,
Site evidence,Was the property inspected and were assets photographed?,Inspection record and indexed photos,,
Asset schedule,Can each reclassified asset be located and identified?,Detailed asset list with cost and location,,
Tax classification,Does each asset have a supported class life and rationale?,Classification memo and cited authority,,
Cost estimates,Are estimates explained and reconciled to the total project cost?,Estimation method and reconciliation,,
Indirect costs,How were design permits and overhead allocated?,Indirect-cost schedule and allocation method,,
Prior depreciation,Are old and new schedules reconciled for a prior-year property?,Historical schedules and method-change workpaper,,
Implementation,Can the tax preparer use the final asset data for the return?,Form 4562-ready schedule and preparer notes,,
Future disposition,Will the owner retain asset-level basis for a later sale or retirement?,Final asset register and supporting report,,
